2020-09-07 | 12:00:48.799 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | Starting Sprint1Application on yeongsamnoui-MacBookPro.local with PID 1055 (/Users/yeongsamno/Desktop/com/soma/recorder/backend/sprint1/build/classes/java/main started by yeongsamno in /Users/yeongsamno/Desktop/com/soma/recorder/backend/sprint1)
2020-09-07 | 12:00:52.419 | restartedMain        |  INFO | o.h.j.i.util.LogHelper    | ID:          | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2020-09-07 | 12:00:52.516 | restartedMain        |  INFO | org.hibernate.Version     | ID:          | HHH000412: Hibernate Core {5.3.17.Final}
2020-09-07 | 12:00:52.518 | restartedMain        |  INFO | o.h.cfg.Environment       | ID:          | HHH000206: hibernate.properties not found
2020-09-07 | 12:00:52.726 | restartedMain        |  INFO | o.h.a.common.Version      | ID:          | HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2020-09-07 | 12:00:52.898 | restartedMain        |  INFO | o.h.dialect.Dialect       | ID:          | HHH000400: Using dialect: com.swm.sprint1.config.MysqlCustomDialect
2020-09-07 | 12:00:53.750 | restartedMain        |  INFO | rEntityManagerFactoryBean | ID:          | Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-07 | 12:00:55.096 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientInboundChannelExecutor'
2020-09-07 | 12:00:55.106 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientOutboundChannelExecutor'
2020-09-07 | 12:00:55.290 | restartedMain        |  WARN | on$JpaWebMvcConfiguration | ID:          | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-09-07 | 12:00:55.418 | restartedMain        |  INFO | e.w.EndpointLinksResolver | ID:          | Exposing 16 endpoint(s) beneath base path '/actuator'
2020-09-07 | 12:00:55.705 | restartedMain        |  INFO | c.ThreadPoolTaskScheduler | ID:          | Initializing ExecutorService 'messageBrokerTaskScheduler'
2020-09-07 | 12:00:55.764 | restartedMain        |  INFO | WelcomePageHandlerMapping | ID:          | Adding welcome page: class path resource [static/index.html]
2020-09-07 | 12:00:55.802 | restartedMain        |  INFO | efaultSecurityFilterChain | ID:          | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@29a7694, org.springframework.security.web.context.SecurityContextPersistenceFilter@2eb73d72, org.springframework.security.web.header.HeaderWriterFilter@5b210c54, org.springframework.web.filter.CorsFilter@74e2ccd5, org.springframework.security.web.authentication.logout.LogoutFilter@2deb0a92, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@205131be, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@37c756bf, com.swm.sprint1.security.TokenAuthenticationFilter@450d1424, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@116e0ee3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@11608980, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2ea0007c, org.springframework.security.web.session.SessionManagementFilter@4433b62b, org.springframework.security.web.access.ExceptionTranslationFilter@258ddd06, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@c1713ec]
2020-09-07 | 12:00:55.820 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'brokerChannelExecutor'
2020-09-07 | 12:00:56.015 | restartedMain        |  INFO | .OptionalLiveReloadServer | ID:          | LiveReload server is running on port 35729
2020-09-07 | 12:00:56.402 | restartedMain        |  INFO | tationPluginsBootstrapper | ID:          | Context refreshed
2020-09-07 | 12:00:56.419 | restartedMain        |  INFO | tationPluginsBootstrapper | ID:          | Found 1 custom documentation plugin(s)
2020-09-07 | 12:00:56.431 | restartedMain        |  INFO | piListingReferenceScanner | ID:          | Scanning for api listing references
2020-09-07 | 12:00:56.612 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | Starting...
2020-09-07 | 12:00:56.612 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-09-07 | 12:00:56.613 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | Started.
2020-09-07 | 12:00:56.623 | restartedMain        |  INFO | o.a.c.h.Http11NioProtocol | ID:          | Starting ProtocolHandler ["http-nio-8080"]
2020-09-07 | 12:00:56.650 | restartedMain        |  INFO | s.b.w.e.t.TomcatWebServer | ID:          | Tomcat started on port(s): 8080 (http) with context path ''
2020-09-07 | 12:00:56.653 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | Started Sprint1Application in 8.441 seconds (JVM running for 9.531)
2020-09-07 | 12:00:56.782 | nection(3)-127.0.0.1 |  INFO | o.a.c.c.C.[.[.[/]         | ID:          | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-07 | 12:00:56.782 | nection(3)-127.0.0.1 |  INFO | o.s.w.s.DispatcherServlet | ID:          | Initializing Servlet 'dispatcherServlet'
2020-09-07 | 12:00:56.793 | nection(3)-127.0.0.1 |  INFO | o.s.w.s.DispatcherServlet | ID:          | Completed initialization in 10 ms
2020-09-07 | 12:01:09.975 | http-nio-8080-exec-2 | ERROR | TokenAuthenticationFilter | ID:          | JWT signature does not match locally computed signature. JWT validity cannot be asserted and should not be trusted.
2020-09-07 | 12:01:55.822 | MessageBroker-1      |  INFO | bSocketMessageBrokerStats | ID:          | WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2020-09-07 | 12:03:55.999 | Thread-24            |  INFO | impleBrokerMessageHandler | ID:          | Stopping...
2020-09-07 | 12:03:56.000 | Thread-24            |  INFO | impleBrokerMessageHandler | ID:          | BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-09-07 | 12:03:56.000 | Thread-24            |  INFO | impleBrokerMessageHandler | ID:          | Stopped.
2020-09-07 | 12:03:56.002 | Thread-24            |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'brokerChannelExecutor'
2020-09-07 | 12:03:56.002 | Thread-24            |  INFO | c.ThreadPoolTaskScheduler | ID:          | Shutting down ExecutorService 'messageBrokerTaskScheduler'
2020-09-07 | 12:03:56.004 | Thread-24            |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'clientOutboundChannelExecutor'
2020-09-07 | 12:03:56.004 | Thread-24            |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'clientInboundChannelExecutor'
2020-09-07 | 12:03:56.007 | Thread-24            |  INFO | rEntityManagerFactoryBean | ID:          | Closing JPA EntityManagerFactory for persistence unit 'default'
2020-09-07 | 12:03:56.010 | Thread-24            |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Shutdown initiated...
2020-09-07 | 12:03:56.016 | Thread-24            |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Shutdown completed.
2020-09-07 | 12:04:00.362 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | Starting Sprint1Application on yeongsamnoui-MacBookPro.local with PID 1084 (/Users/yeongsamno/Desktop/com/soma/recorder/backend/sprint1/build/classes/java/main started by yeongsamno in /Users/yeongsamno/Desktop/com/soma/recorder/backend/sprint1)
2020-09-07 | 12:04:00.390 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | The following profiles are active: real-db,oauth,jwt,aws,local
2020-09-07 | 12:04:00.428 | restartedMain        |  INFO | ertyDefaultsPostProcessor | ID:          | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-07 | 12:04:00.428 | restartedMain        |  INFO | ertyDefaultsPostProcessor | ID:          | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-07 | 12:04:01.475 | restartedMain        |  INFO | toryConfigurationDelegate | ID:          | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-09-07 | 12:04:01.554 | restartedMain        |  INFO | toryConfigurationDelegate | ID:          | Finished Spring Data repository scanning in 73ms. Found 5 JPA repository interfaces.
2020-09-07 | 12:04:01.947 | restartedMain        |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@66f6ec56' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-07 | 12:04:01.957 | restartedMain        |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-07 | 12:04:02.259 | restartedMain        |  INFO | s.b.w.e.t.TomcatWebServer | ID:          | Tomcat initialized with port(s): 8080 (http)
2020-09-07 | 12:04:02.273 | restartedMain        |  INFO | o.a.c.h.Http11NioProtocol | ID:          | Initializing ProtocolHandler ["http-nio-8080"]
2020-09-07 | 12:04:02.283 | restartedMain        |  INFO | o.a.c.c.StandardService   | ID:          | Starting service [Tomcat]
2020-09-07 | 12:04:02.284 | restartedMain        |  INFO | o.a.c.core.StandardEngine | ID:          | Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-09-07 | 12:04:02.464 | restartedMain        |  INFO | o.a.c.c.C.[.[.[/]         | ID:          | Initializing Spring embedded WebApplicationContext
2020-09-07 | 12:04:02.464 | restartedMain        |  INFO | o.s.w.c.ContextLoader     | ID:          | Root WebApplicationContext: initialization completed in 2036 ms
2020-09-07 | 12:04:03.006 | restartedMain        |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Starting...
2020-09-07 | 12:04:03.383 | restartedMain        |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Start completed.
2020-09-07 | 12:04:03.430 | restartedMain        |  INFO | o.h.j.i.util.LogHelper    | ID:          | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2020-09-07 | 12:04:03.488 | restartedMain        |  INFO | org.hibernate.Version     | ID:          | HHH000412: Hibernate Core {5.3.17.Final}
2020-09-07 | 12:04:03.489 | restartedMain        |  INFO | o.h.cfg.Environment       | ID:          | HHH000206: hibernate.properties not found
2020-09-07 | 12:04:03.602 | restartedMain        |  INFO | o.h.a.common.Version      | ID:          | HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2020-09-07 | 12:04:03.738 | restartedMain        |  INFO | o.h.dialect.Dialect       | ID:          | HHH000400: Using dialect: com.swm.sprint1.config.MysqlCustomDialect
2020-09-07 | 12:04:04.532 | restartedMain        |  INFO | rEntityManagerFactoryBean | ID:          | Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-07 | 12:04:05.598 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientInboundChannelExecutor'
2020-09-07 | 12:04:05.605 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientOutboundChannelExecutor'
2020-09-07 | 12:04:05.748 | restartedMain        |  WARN | on$JpaWebMvcConfiguration | ID:          | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-09-07 | 12:04:05.866 | restartedMain        |  INFO | e.w.EndpointLinksResolver | ID:          | Exposing 16 endpoint(s) beneath base path '/actuator'
2020-09-07 | 12:04:06.090 | restartedMain        |  INFO | c.ThreadPoolTaskScheduler | ID:          | Initializing ExecutorService 'messageBrokerTaskScheduler'
2020-09-07 | 12:04:06.141 | restartedMain        |  INFO | WelcomePageHandlerMapping | ID:          | Adding welcome page: class path resource [static/index.html]
2020-09-07 | 12:04:06.178 | restartedMain        |  INFO | efaultSecurityFilterChain | ID:          | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@46545f6c, org.springframework.security.web.context.SecurityContextPersistenceFilter@6ecb9993, org.springframework.security.web.header.HeaderWriterFilter@433a7720, org.springframework.web.filter.CorsFilter@6eac8afb, org.springframework.security.web.authentication.logout.LogoutFilter@6d787af8, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@7a79041f, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@2741ea3f, com.swm.sprint1.security.TokenAuthenticationFilter@7aa4f8b0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@187c54ba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4d94da75, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@f5f4818, org.springframework.security.web.session.SessionManagementFilter@76916953, org.springframework.security.web.access.ExceptionTranslationFilter@13739a63, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6046516]
2020-09-07 | 12:04:06.194 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'brokerChannelExecutor'
2020-09-07 | 12:04:06.361 | restartedMain        |  INFO | .OptionalLiveReloadServer | ID:          | LiveReload server is running on port 35729
2020-09-07 | 12:04:06.667 | restartedMain        |  INFO | tationPluginsBootstrapper | ID:          | Context refreshed
2020-09-07 | 12:04:06.677 | restartedMain        |  INFO | tationPluginsBootstrapper | ID:          | Found 1 custom documentation plugin(s)
2020-09-07 | 12:04:06.688 | restartedMain        |  INFO | piListingReferenceScanner | ID:          | Scanning for api listing references
2020-09-07 | 12:04:06.846 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | Starting...
2020-09-07 | 12:04:06.846 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-09-07 | 12:04:06.847 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | Started.
2020-09-07 | 12:04:06.856 | restartedMain        |  INFO | o.a.c.h.Http11NioProtocol | ID:          | Starting ProtocolHandler ["http-nio-8080"]
2020-09-07 | 12:04:06.880 | restartedMain        |  INFO | s.b.w.e.t.TomcatWebServer | ID:          | Tomcat started on port(s): 8080 (http) with context path ''
2020-09-07 | 12:04:06.883 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | Started Sprint1Application in 7.051 seconds (JVM running for 7.77)
2020-09-07 | 12:04:10.672 | http-nio-8080-exec-2 |  INFO | o.a.c.c.C.[.[.[/]         | ID:          | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-07 | 12:04:10.672 | http-nio-8080-exec-2 |  INFO | o.s.w.s.DispatcherServlet | ID:          | Initializing Servlet 'dispatcherServlet'
2020-09-07 | 12:04:10.681 | http-nio-8080-exec-2 |  INFO | o.s.w.s.DispatcherServlet | ID:          | Completed initialization in 9 ms
2020-09-07 | 12:04:11.877 | http-nio-8080-exec-2 | ERROR | TokenAuthenticationFilter | ID:          | JWT signature does not match locally computed signature. JWT validity cannot be asserted and should not be trusted.
2020-09-07 | 12:05:06.197 | MessageBroker-1      |  INFO | bSocketMessageBrokerStats | ID:          | WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2020-09-07 | 12:09:54.741 | Thread-9             |  INFO | impleBrokerMessageHandler | ID:          | Stopping...
2020-09-07 | 12:09:54.741 | Thread-9             |  INFO | impleBrokerMessageHandler | ID:          | BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-09-07 | 12:09:54.741 | Thread-9             |  INFO | impleBrokerMessageHandler | ID:          | Stopped.
2020-09-07 | 12:09:54.743 | Thread-9             |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'brokerChannelExecutor'
2020-09-07 | 12:09:54.744 | Thread-9             |  INFO | c.ThreadPoolTaskScheduler | ID:          | Shutting down ExecutorService 'messageBrokerTaskScheduler'
2020-09-07 | 12:09:54.746 | Thread-9             |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'clientOutboundChannelExecutor'
2020-09-07 | 12:09:54.747 | Thread-9             |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'clientInboundChannelExecutor'
2020-09-07 | 12:09:54.749 | Thread-9             |  INFO | rEntityManagerFactoryBean | ID:          | Closing JPA EntityManagerFactory for persistence unit 'default'
2020-09-07 | 12:09:54.752 | Thread-9             |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Shutdown initiated...
2020-09-07 | 12:09:54.758 | Thread-9             |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Shutdown completed.
2020-09-07 | 12:10:19.528 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | Starting Sprint1Application on yeongsamnoui-MacBookPro.local with PID 1149 (/Users/yeongsamno/Desktop/com/soma/recorder/backend/sprint1/build/classes/java/main started by yeongsamno in /Users/yeongsamno/Desktop/com/soma/recorder/backend/sprint1)
2020-09-07 | 12:10:19.530 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | The following profiles are active: real-db,oauth,jwt,aws,local
2020-09-07 | 12:10:19.573 | restartedMain        |  INFO | ertyDefaultsPostProcessor | ID:          | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-07 | 12:10:19.573 | restartedMain        |  INFO | ertyDefaultsPostProcessor | ID:          | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-07 | 12:10:20.675 | restartedMain        |  INFO | toryConfigurationDelegate | ID:          | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-09-07 | 12:10:20.763 | restartedMain        |  INFO | toryConfigurationDelegate | ID:          | Finished Spring Data repository scanning in 82ms. Found 5 JPA repository interfaces.
2020-09-07 | 12:10:21.198 | restartedMain        |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@135a9829' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-07 | 12:10:21.209 | restartedMain        |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-07 | 12:10:21.579 | restartedMain        |  INFO | s.b.w.e.t.TomcatWebServer | ID:          | Tomcat initialized with port(s): 8080 (http)
2020-09-07 | 12:10:21.592 | restartedMain        |  INFO | o.a.c.h.Http11NioProtocol | ID:          | Initializing ProtocolHandler ["http-nio-8080"]
2020-09-07 | 12:10:21.601 | restartedMain        |  INFO | o.a.c.c.StandardService   | ID:          | Starting service [Tomcat]
2020-09-07 | 12:10:21.601 | restartedMain        |  INFO | o.a.c.core.StandardEngine | ID:          | Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-09-07 | 12:10:21.692 | restartedMain        |  INFO | o.a.c.c.C.[.[.[/]         | ID:          | Initializing Spring embedded WebApplicationContext
2020-09-07 | 12:10:21.692 | restartedMain        |  INFO | o.s.w.c.ContextLoader     | ID:          | Root WebApplicationContext: initialization completed in 2119 ms
2020-09-07 | 12:10:22.277 | restartedMain        |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Starting...
2020-09-07 | 12:10:22.666 | restartedMain        |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Start completed.
2020-09-07 | 12:10:22.713 | restartedMain        |  INFO | o.h.j.i.util.LogHelper    | ID:          | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2020-09-07 | 12:10:22.786 | restartedMain        |  INFO | org.hibernate.Version     | ID:          | HHH000412: Hibernate Core {5.3.17.Final}
2020-09-07 | 12:10:22.789 | restartedMain        |  INFO | o.h.cfg.Environment       | ID:          | HHH000206: hibernate.properties not found
2020-09-07 | 12:10:22.944 | restartedMain        |  INFO | o.h.a.common.Version      | ID:          | HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2020-09-07 | 12:10:23.089 | restartedMain        |  INFO | o.h.dialect.Dialect       | ID:          | HHH000400: Using dialect: com.swm.sprint1.config.MysqlCustomDialect
2020-09-07 | 12:10:23.852 | restartedMain        |  INFO | rEntityManagerFactoryBean | ID:          | Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-07 | 12:10:24.989 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientInboundChannelExecutor'
2020-09-07 | 12:10:24.997 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'clientOutboundChannelExecutor'
2020-09-07 | 12:10:25.147 | restartedMain        |  WARN | on$JpaWebMvcConfiguration | ID:          | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-09-07 | 12:10:25.271 | restartedMain        |  INFO | e.w.EndpointLinksResolver | ID:          | Exposing 16 endpoint(s) beneath base path '/actuator'
2020-09-07 | 12:10:25.507 | restartedMain        |  INFO | c.ThreadPoolTaskScheduler | ID:          | Initializing ExecutorService 'messageBrokerTaskScheduler'
2020-09-07 | 12:10:25.561 | restartedMain        |  INFO | WelcomePageHandlerMapping | ID:          | Adding welcome page: class path resource [static/index.html]
2020-09-07 | 12:10:25.598 | restartedMain        |  INFO | efaultSecurityFilterChain | ID:          | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1cf1f2b8, org.springframework.security.web.context.SecurityContextPersistenceFilter@4e35d262, org.springframework.security.web.header.HeaderWriterFilter@7fed429a, org.springframework.web.filter.CorsFilter@36b9ad0a, org.springframework.security.web.authentication.logout.LogoutFilter@673bdde2, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@2e03c60e, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@78a7c73c, com.swm.sprint1.security.TokenAuthenticationFilter@27b66d78, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@77f145a1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5acf5de1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@53ea085c, org.springframework.security.web.session.SessionManagementFilter@6e5e089a, org.springframework.security.web.access.ExceptionTranslationFilter@63709b9c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3a6600da]
2020-09-07 | 12:10:25.615 | restartedMain        |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Initializing ExecutorService 'brokerChannelExecutor'
2020-09-07 | 12:10:25.796 | restartedMain        |  INFO | .OptionalLiveReloadServer | ID:          | LiveReload server is running on port 35729
2020-09-07 | 12:10:26.121 | restartedMain        |  INFO | tationPluginsBootstrapper | ID:          | Context refreshed
2020-09-07 | 12:10:26.132 | restartedMain        |  INFO | tationPluginsBootstrapper | ID:          | Found 1 custom documentation plugin(s)
2020-09-07 | 12:10:26.144 | restartedMain        |  INFO | piListingReferenceScanner | ID:          | Scanning for api listing references
2020-09-07 | 12:10:26.315 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | Starting...
2020-09-07 | 12:10:26.315 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-09-07 | 12:10:26.316 | restartedMain        |  INFO | impleBrokerMessageHandler | ID:          | Started.
2020-09-07 | 12:10:26.327 | restartedMain        |  INFO | o.a.c.h.Http11NioProtocol | ID:          | Starting ProtocolHandler ["http-nio-8080"]
